,Unnamed: 0,Bell No,Actual Time,Confidence
198,198,3,100250.0,1.0
199,199,1,100670.0,0.9645705669265426
200,200,5,100910.0,1.0
201,201,2,101210.0,1.0
202,202,4,101620.0,1.0
203,203,6,101950.0,1.0
204,204,1,102570.0,1.0
205,205,3,102800.0,0.941821447229441
206,206,2,102900.0,1.0
207,207,5,103280.0,1.0
208,208,4,103620.0,1.0
209,209,6,104050.0,0.9880010117692416
210,210,1,104230.0,0.988052535427592
211,211,2,104720.0,1.0
212,212,3,105030.0,1.0
213,213,4,105400.0,1.0
214,214,5,105640.0,1.0
215,215,6,106030.0,0.9796487259820016
216,216,2,106740.0,1.0
217,217,1,106810.0,1.0
218,218,4,107140.0,1.0
219,219,3,107440.0,1.0
220,220,5,107790.0,1.0
221,221,6,108130.0,1.0
222,222,1,108660.0,0.9297036647902164
223,223,2,108670.0,1.0
224,224,4,109030.0,1.0
225,225,5,109420.0,1.0
226,226,3,109760.0,0.9541791285303196
227,227,6,110140.0,0.9943610668293148
228,228,4,110780.0,1.0
229,229,2,111010.0,1.0
230,230,5,111300.0,1.0
231,231,1,111480.0,1.0
232,232,3,111770.0,1.0
233,233,6,112180.0,1.0
234,234,4,112640.0,1.0
235,235,5,112950.0,1.0
236,236,2,113180.0,1.0
237,237,3,113500.0,1.0
238,238,1,113690.0,0.8900857772521904
239,239,6,114200.0,1.0
240,240,5,114690.0,1.0
241,241,4,115000.0,0.9733008903318738
242,242,3,115290.0,1.0
243,243,2,115600.0,0.9391254906517577
244,244,1,115800.0,1.0
245,245,6,116220.0,1.0
246,246,5,116670.0,1.0
247,247,3,116990.0,1.0
248,248,4,117290.0,0.993221898871509
249,249,1,117650.0,1.0
250,250,2,117900.0,1.0
251,251,6,118180.0,1.0
252,252,3,118820.0,1.0
253,253,5,119130.0,1.0
254,254,1,119430.0,1.0
255,255,4,119720.0,1.0
256,256,2,119940.0,1.0
257,257,6,120260.0,1.0
258,258,3,120690.0,1.0
259,259,1,121060.0,1.0
260,260,5,121410.0,0.9948059182160062
261,261,2,121560.0,1.0
262,262,4,121970.0,0.9933125966199108
263,263,6,122340.0,1.0
264,264,1,122820.0,1.0
265,265,3,123110.0,1.0
266,266,2,123390.0,0.9811115923245094
267,267,5,123680.0,1.0
268,268,4,124080.0,1.0
269,269,6,124420.0,1.0
270,270,1,124680.0,0.9906288420197256
271,271,2,125100.0,1.0
272,272,3,125410.0,1.0
273,273,4,125780.0,1.0
274,274,5,126030.0,1.0
275,275,6,126370.0,0.9860375486565396
276,276,2,126950.0,1.0
277,277,1,127210.0,0.9832943666922248
278,278,4,127600.0,0.9853737842469232
279,279,3,127880.0,1.0
280,280,5,128190.0,1.0
281,281,6,128510.0,1.0
282,282,2,128860.0,1.0
283,283,4,129270.0,0.9911025009519034
284,284,1,129350.0,0.9761751836228586
285,285,5,129820.0,1.0
286,286,3,130180.0,1.0
287,287,6,130500.0,1.0
288,288,4,131030.0,1.0
289,289,2,131310.0,1.0
290,290,5,131580.0,1.0
291,291,1,131820.0,1.0
292,292,3,132200.0,1.0
293,293,6,132650.0,1.0
294,294,4,132920.0,1.0
295,295,5,133200.0,1.0
296,296,2,133370.0,1.0
297,297,3,133770.0,1.0
298,298,1,134050.0,0.9856063530240284
299,299,6,134570.0,1.0
300,300,5,134940.0,1.0
301,301,4,135280.0,1.0
302,302,3,135550.0,1.0
303,303,2,135870.0,1.0
304,304,1,136100.0,0.9871177167560105
305,305,6,136550.0,1.0
306,306,5,136940.0,1.0
307,307,3,137230.0,1.0
308,308,4,137530.0,1.0
309,309,1,137910.0,0.9861127317712274
310,310,2,138010.0,1.0
311,311,6,138420.0,1.0
312,312,3,139000.0,1.0
313,313,5,139310.0,1.0
314,314,1,139660.0,1.0
315,315,4,140010.0,1.0
316,316,2,140140.0,1.0
317,317,6,140570.0,0.8734573585958489
318,318,3,140890.0,1.0
319,319,1,141370.0,1.0
320,320,5,141630.0,1.0
321,321,2,141780.0,0.9619025697524696
322,322,4,142170.0,1.0
323,323,6,142530.0,0.988263925909354
324,324,1,143290.0,0.9637959047338138
325,325,3,143440.0,1.0
326,326,2,143660.0,1.0
327,327,5,143980.0,0.9819690992837892
328,328,4,144320.0,1.0
329,329,6,144660.0,1.0
330,330,1,145080.0,1.0
331,331,2,145440.0,1.0
332,332,3,145730.0,0.9942727712275952
333,333,4,146060.0,1.0
334,334,5,146310.0,1.0
335,335,6,146640.0,1.0
336,336,1,147170.0,0.9836692024455947
337,337,2,147450.0,1.0
338,338,3,147770.0,1.0
339,339,4,148100.0,0.9841197565398208
340,340,5,148390.0,1.0
341,341,6,148730.0,0.9826124812474388
342,342,1,149060.0,0.9170611574678502
343,343,2,149320.0,1.0
344,344,3,149640.0,0.9826118759455564
345,345,4,149970.0,1.0
346,346,5,150360.0,1.0
347,347,6,150740.0,0.9812978712474985
348,348,1,151330.0,1.0
349,349,2,151460.0,1.0
350,350,3,151730.0,1.0
351,351,4,152090.0,1.0
352,352,5,152430.0,1.0
353,353,6,152830.0,1.0
354,354,1,153090.0,1.0
355,355,2,153410.0,1.0
356,356,3,153690.0,1.0
357,357,4,154040.0,1.0
358,358,5,154390.0,1.0
359,359,6,154760.0,1.0
360,360,1,155200.0,1.0
361,361,3,155430.0,1.0
362,362,2,155710.0,1.0
363,363,4,156080.0,1.0
364,364,5,156420.0,1.0
365,365,6,156820.0,1.0
366,366,1,156970.0,1.0
367,367,3,157280.0,1.0
368,368,2,157770.0,1.0
369,369,4,158140.0,1.0
370,370,5,158370.0,1.0
371,371,6,158770.0,0.8017146285744017
372,372,1,159230.0,1.0
373,373,3,159380.0,1.0
374,374,2,159860.0,1.0
375,375,4,160140.0,1.0
376,376,5,160430.0,1.0
377,377,6,160840.0,1.0
378,378,1,161110.0,1.0
379,379,3,161390.0,1.0
380,380,2,161740.0,1.0
381,381,4,162140.0,1.0
382,382,5,162380.0,1.0
383,383,6,162810.0,0.9661425826738572
384,384,1,163330.0,1.0
385,385,3,163600.0,1.0
386,386,2,163810.0,0.9367751400992812
387,387,5,164180.0,1.0
388,388,4,164530.0,1.0
389,389,6,164880.0,1.0
390,390,1,165010.0,1.0
391,391,3,165440.0,1.0
392,392,2,165830.0,1.0
393,393,5,165970.0,1.0
394,394,4,166360.0,1.0
395,395,6,166820.0,1.0
396,396,1,167240.0,0.9525236947120266
397,397,3,167510.0,0.9814971224123548
398,398,2,167970.0,1.0
399,399,5,168010.0,1.0
400,400,4,168450.0,1.0
401,401,6,168820.0,1.0
402,402,1,169110.0,0.974537197699454
403,403,3,169500.0,1.0
404,404,2,169790.0,0.9945230543599692
405,405,5,170160.0,1.0
406,406,4,170460.0,1.0
407,407,6,170750.0,1.0
408,408,1,171320.0,1.0
409,409,3,171620.0,1.0
410,410,2,171890.0,1.0
411,411,5,172200.0,1.0
412,412,4,172580.0,1.0
413,413,6,172770.0,0.8928714574805908
414,414,1,173040.0,1.0
415,415,3,173470.0,0.975956136931176
416,416,2,173860.0,1.0
417,417,5,174160.0,1.0
418,418,4,174500.0,1.0
419,419,6,174890.0,0.993342947144598
420,420,1,175430.0,1.0
421,421,3,175630.0,1.0
422,422,2,175990.0,1.0
423,423,5,176250.0,1.0
424,424,4,176580.0,1.0
425,425,6,176910.0,1.0
426,426,1,177290.0,1.0
427,427,3,177620.0,1.0
428,428,2,177960.0,1.0
429,429,5,178260.0,1.0
430,430,4,178640.0,1.0
431,431,6,178930.0,0.9157970999199052
432,432,1,179560.0,0.75834809848876
433,433,3,179770.0,0.9483726436904084
434,434,2,180040.0,0.2888834101164403
435,435,5,180320.0,1.0
436,436,4,180470.0,0.4018076610601456
437,437,6,181060.0,1.0
438,438,1,181410.0,0.976418812108162
439,439,3,181700.0,1.0
440,440,2,181970.0,1.0
441,441,5,182270.0,1.0
442,442,4,182640.0,1.0
443,443,6,183080.0,0.9365982862118116
444,444,3,183550.0,1.0
445,445,2,183820.0,0.9644181118069916
