Name,Stage,Lead Length,Place Notation,Type,Interior Notation,Hunt Number
Fabio Chiarvesio Surprise Minor,6,24,"36-56.14-56-1236-14-56,12",T,36-56.14-56-1236-14-56-14-1236-56-14.56-36.12,1
Wood Green Surprise Minor,6,24,"36-56.14-56-1236-34-36,12",T,36-56.14-56-1236-34-36-34-1236-56-14.56-36.12,1
Gaywood Surprise Minor,6,24,"36-56.14-56-1236-34-56,12",T,36-56.14-56-1236-34-56-34-1236-56-14.56-36.12,1
Acle Surprise Minor,6,24,"36-56.14-56-36-12-56,12",T,36-56.14-56-36-12-56-12-36-56-14.56-36.12,1
Where Is Jane? Surprise Minor,6,24,"36-56.14-56-36-14-16,12",T,36-56.14-56-36-14-16-14-36-56-14.56-36.12,1
All Square Surprise Minor,6,24,"36-56.14-56-36-34-16,12",T,36-56.14-56-36-34-16-34-36-56-14.56-36.12,1
Winchilsea Surprise Minor,6,24,"36-56.14-56-36-34-36,12",T,36-56.14-56-36-34-36-34-36-56-14.56-36.12,1
Streatley Surprise Minor,6,24,"36-56.14-56-36-34-56,12",T,36-56.14-56-36-34-56-34-36-56-14.56-36.12,1
Brockdish Surprise Minor,6,24,"36-56.14-56-36.12-12.56,12",T,36-56.14-56-36.12-12.56.12-12.36-56-14.56-36.12,1
Princesshay Surprise Minor,6,24,"36-56.14-56-36.12-14.16,16",T,36-56.14-56-36.12-14.16.14-12.36-56-14.56-36.16,1
Bah Humbug Surprise Minor,6,24,"36-56.14-56-36.12-14.56,12",T,36-56.14-56-36.12-14.56.14-12.36-56-14.56-36.12,1
Winkfield Surprise Minor,6,24,"36-56.14-56-36.12-34.56,12",T,36-56.14-56-36.12-34.56.34-12.36-56-14.56-36.12,1
Ashleworth Surprise Minor,6,24,"36-56.14-56-36.14-14.56,12",T,36-56.14-56-36.14-14.56.14-14.36-56-14.56-36.12,1
Nadder Brook Surprise Minor,6,24,"36-56.14-56-36.34-12.56,12",T,36-56.14-56-36.34-12.56.12-34.36-56-14.56-36.12,1
River Clyst Surprise Minor,6,24,"36-56.14-56-36.34-34.56,12",T,36-56.14-56-36.34-34.56.34-34.36-56-14.56-36.12,1
Barham's Brook Surprise Minor,6,24,"36-56.14.12-12.36-12-36,12",T,36-56.14.12-12.36-12-36-12-36.12-12.14.56-36.12,1
Colley Brook Surprise Minor,6,24,"36-56.14.12-12.36-14-36,12",T,36-56.14.12-12.36-14-36-14-36.12-12.14.56-36.12,1
Aller Brook Surprise Minor,6,24,"36-56.14.12-12.36-34-16,12",T,36-56.14.12-12.36-34-16-34-36.12-12.14.56-36.12,1
Vine Water Surprise Minor,6,24,"36-56.14.12-12.36.12-12.36,12",T,36-56.14.12-12.36.12-12.36.12-12.36.12-12.14.56-36.12,1
Dawlish Water Surprise Minor,6,24,"36-56.14.12-12.36.12-14.56,12",T,36-56.14.12-12.36.12-14.56.14-12.36.12-12.14.56-36.12,1
Liverton Brook Surprise Minor,6,24,"36-56.14.12-12.36.14-12.36,12",T,36-56.14.12-12.36.14-12.36.12-14.36.12-12.14.56-36.12,1
River Lemon Surprise Minor,6,24,"36-56.14.12-12.36.34-14.56,12",T,36-56.14.12-12.36.34-14.56.14-34.36.12-12.14.56-36.12,1
Holy Brook Surprise Minor,6,24,"36-56.14.12-56.36-12-56,12",T,36-56.14.12-56.36-12-56-12-36.56-12.14.56-36.12,1
Lidburn Brook Surprise Minor,6,24,"36-56.14.12-56.36-14-36,12",T,36-56.14.12-56.36-14-36-14-36.56-12.14.56-36.12,1
Arch Brook Surprise Minor,6,24,"36-56.14.12-56.36-34-56,12",T,36-56.14.12-56.36-34-56-34-36.56-12.14.56-36.12,1
Denver Surprise Minor,6,24,"36-56.14.56-12.36-12-56,12",T,36-56.14.56-12.36-12-56-12-36.12-56.14.56-36.12,1
Llanelly Surprise Minor,6,24,"36-56.14.56-12.36-14-36,12",T,36-56.14.56-12.36-14-36-14-36.12-56.14.56-36.12,1
Hasfield Surprise Minor,6,24,"36-56.14.56-12.36-14-56,12",T,36-56.14.56-12.36-14-56-14-36.12-56.14.56-36.12,1
Simon Surprise Minor,6,24,"36-56.14.56-12.36-34-36,12",T,36-56.14.56-12.36-34-36-34-36.12-56.14.56-36.12,1
Docking Surprise Minor,6,24,"36-56.14.56-12.36-34-56,12",T,36-56.14.56-12.36-34-56-34-36.12-56.14.56-36.12,1
Garveston Surprise Minor,6,24,"36-56.14.56-12.36.12-12.56,12",T,36-56.14.56-12.36.12-12.56.12-12.36.12-56.14.56-36.12,1
Ursa Major Surprise Minor,6,24,"36-56.14.56-12.36.12-14.36,12",T,36-56.14.56-12.36.12-14.36.14-12.36.12-56.14.56-36.12,1
Hartsop Surprise Minor,6,24,"36-56.14.56-12.36.12-34.56,12",T,36-56.14.56-12.36.12-34.56.34-12.36.12-56.14.56-36.12,1
Isle of Man Surprise Minor,6,24,"36-56.14.56-12.36.14-12.56,12",T,36-56.14.56-12.36.14-12.56.12-14.36.12-56.14.56-36.12,1
Holy Island Surprise Minor,6,24,"36-56.14.56-12.36.14-14.56,12",T,36-56.14.56-12.36.14-14.56.14-14.36.12-56.14.56-36.12,1
Bardsey Island Surprise Minor,6,24,"36-56.14.56-12.36.14-34.56,12",T,36-56.14.56-12.36.14-34.56.34-14.36.12-56.14.56-36.12,1
Bonhay Surprise Minor,6,24,"36-56.14.56-56.36.14-14.36,16",T,36-56.14.56-56.36.14-14.36.14-14.36.56-56.14.56-36.16,1
Marcus Surprise Minor,6,24,"56-36.14-12-1236-12-56,12",T,56-36.14-12-1236-12-56-12-1236-12-14.36-56.12,1
Wall Surprise Minor,6,24,"56-36.14-12-1236-14-16,12",T,56-36.14-12-1236-14-16-14-1236-12-14.36-56.12,1
Remembrance Surprise Minor,6,24,"56-36.14-12-1236-34-16,12",T,56-36.14-12-1236-34-16-34-1236-12-14.36-56.12,1
Letchworth Surprise Minor,6,24,"56-36.14-12-1236-34-36,12",T,56-36.14-12-1236-34-36-34-1236-12-14.36-56.12,1
Nigel Surprise Minor,6,24,"56-36.14-12-1236-34-56,12",T,56-36.14-12-1236-34-56-34-1236-12-14.36-56.12,1
Diccon Surprise Minor,6,24,"56-36.14-12-36-12-56,12",T,56-36.14-12-36-12-56-12-36-12-14.36-56.12,1
Harvest Surprise Minor,6,24,"56-36.14-12-36-14-16,12",T,56-36.14-12-36-14-16-14-36-12-14.36-56.12,1
Somersham Surprise Minor,6,24,"56-36.14-12-36-14-36,12",T,56-36.14-12-36-14-36-14-36-12-14.36-56.12,1
St Benet's Surprise Minor,6,24,"56-36.14-12-36-14-56,12",T,56-36.14-12-36-14-56-14-36-12-14.36-56.12,1
St Michael-on-the-Mount Surprise Minor,6,24,"56-36.14-12-36-34-36,12",T,56-36.14-12-36-34-36-34-36-12-14.36-56.12,1
Roger Surprise Minor,6,24,"56-36.14-12-36-34-56,12",T,56-36.14-12-36-34-56-34-36-12-14.36-56.12,1
Robin Surprise Minor,6,24,"56-36.14-12-36.12-12.56,12",T,56-36.14-12-36.12-12.56.12-12.36-12-14.36-56.12,1
Comet Surprise Minor,6,24,"56-36.14-12-36.12-14.36,12",T,56-36.14-12-36.12-14.36.14-12.36-12-14.36-56.12,1
Midland Counties Surprise Minor,6,24,"56-36.14-12-36.12-34.16,12",T,56-36.14-12-36.12-34.16.34-12.36-12-14.36-56.12,1
Graham Surprise Minor,6,24,"56-36.14-12-36.12-34.56,12",T,56-36.14-12-36.12-34.56.34-12.36-12-14.36-56.12,1
Xenophonic Surprise Minor,6,24,"56-36.14-12-36.14-12.56,12",T,56-36.14-12-36.14-12.56.12-14.36-12-14.36-56.12,1
Eratosthenes Surprise Minor,6,24,"56-36.14-12-36.14-14.36,12",T,56-36.14-12-36.14-14.36.14-14.36-12-14.36-56.12,1
Armada Surprise Minor,6,24,"56-36.14-12-36.14-14.56,12",T,56-36.14-12-36.14-14.56.14-14.36-12-14.36-56.12,1
Aristarchus Surprise Minor,6,24,"56-36.14-12-36.14-34.16,12",T,56-36.14-12-36.14-34.16.34-14.36-12-14.36-56.12,1
Pythagoras Surprise Minor,6,24,"56-36.14-12-36.14-34.56,12",T,56-36.14-12-36.14-34.56.34-14.36-12-14.36-56.12,1
Ganu Mor Surprise Minor,6,24,"56-36.14-1256-1236-12-36,12",T,56-36.14-1256-1236-12-36-12-1236-1256-14.36-56.12,1
Croagh Patrick Surprise Minor,6,24,"56-36.14-1256-1236-14-36,12",T,56-36.14-1256-1236-14-36-14-1236-1256-14.36-56.12,1
Slievenamon Surprise Minor,6,24,"56-36.14-1256-1236-34-16,12",T,56-36.14-1256-1236-34-16-34-1236-1256-14.36-56.12,1
Loch Katrine Surprise Minor,6,24,"56-36.14-1256-36-12-36,12",T,56-36.14-1256-36-12-36-12-36-1256-14.36-56.12,1
Lochleven Castle Surprise Minor,6,24,"56-36.14-1256-36-14-56,12",T,56-36.14-1256-36-14-56-14-36-1256-14.36-56.12,1
Ruadh Stac Mòr Surprise Minor,6,24,"56-36.14-1256-36.12-12.36,12",T,56-36.14-1256-36.12-12.36.12-12.36-1256-14.36-56.12,1
Loch Lomond Surprise Minor,6,24,"56-36.14-1256-36.12-14.36,12",T,56-36.14-1256-36.12-14.36.14-12.36-1256-14.36-56.12,1
Garbh Bheinn Surprise Minor,6,24,"56-36.14-1256-36.12-34.16,12",T,56-36.14-1256-36.12-34.16.34-12.36-1256-14.36-56.12,1
Benbaun Surprise Minor,6,24,"56-36.14-1256-36.14-14.16,12",T,56-36.14-1256-36.14-14.16.14-14.36-1256-14.36-56.12,1
Pebbles Surprise Minor,6,24,"56-36.14-1256-36.14-34.56,12",T,56-36.14-1256-36.14-34.56.34-14.36-1256-14.36-56.12,1
Ian Surprise Minor,6,24,"56-36.14-56-1236-12-16,12",T,56-36.14-56-1236-12-16-12-1236-56-14.36-56.12,1
Mingulay Surprise Minor,6,24,"56-36.14-56-1236-12-36,12",T,56-36.14-56-1236-12-36-12-1236-56-14.36-56.12,1
Zaragoza Surprise Minor,6,24,"56-36.14-56-1236-14-56,12",T,56-36.14-56-1236-14-56-14-1236-56-14.36-56.12,1
Sandray Surprise Minor,6,24,"56-36.14-56-1236-34-36,12",T,56-36.14-56-1236-34-36-34-1236-56-14.36-56.12,1
Somerset and Dorset Surprise Minor,6,24,"56-36.14-56-36-12-36,12",T,56-36.14-56-36-12-36-12-36-56-14.36-56.12,1
